Participant,Trial,FramesFromSubphaseOnset,TimeFromSubphaseOnset,GazeXAvg,GazeYAvg,Position,SceneType,TrackLoss,TargetLooks,Exclusion,Language,AgentType,SentenceType
KMAX001,Larp,48,1600,429.42385,553.76965,Left,target,0,1,0,Korean,DifferentAgent,OvertSubject
KMAX001,Larp,49,1633,430.60845,557.8202,Left,target,0,1,0,Korean,DifferentAgent,OvertSubject
KMAX001,Larp,50,1667,437.194,584.2197,Left,target,0,1,0,Korean,DifferentAgent,OvertSubject
KMAX001,Larp,51,1700,427.80745,542.4088,Left,target,0,1,0,Korean,DifferentAgent,OvertSubject
KMAX001,Larp,52,1733,424.66785,546.016,Left,target,0,1,0,Korean,DifferentAgent,OvertSubject
KMAX001,Larp,53,1767,438.44465,558.47035,Left,target,0,1,0,Korean,DifferentAgent,OvertSubject
KMAX001,Larp,54,1800,433.94115,551.6377,Left,target,0,1,0,Korean,DifferentAgent,OvertSubject
KMAX001,Larp,55,1833,422.981,549.30725,Left,target,0,1,0,Korean,DifferentAgent,OvertSubject
KMAX001,Larp,56,1867,436.0076,546.8689,Left,target,0,1,0,Korean,DifferentAgent,OvertSubject
KMAX001,Larp,57,1900,433.14455,550.41955,Left,target,0,1,0,Korean,DifferentAgent,OvertSubject
KMAX001,Larp,58,1933,441.13595,643.69315,Left,target,0,1,0,Korean,DifferentAgent,OvertSubject
KMAX001,Larp,59,1967,444.0487,651.7613,Left,target,0,1,0,Korean,DifferentAgent,OvertSubject
KMAX001,Larp,60,2000,434.66445,644.04025,Left,target,0,1,0,Korean,DifferentAgent,OvertSubject
KMAX001,Larp,61,2033,431.04485,635.36805,Left,target,0,1,0,Korean,DifferentAgent,OvertSubject
KMAX001,Larp,62,2067,438.6701,645.23755,Left,target,0,1,0,Korean,DifferentAgent,OvertSubject
KMAX001,Larp,63,2100,435.2019,642.9052,Left,target,0,1,0,Korean,DifferentAgent,OvertSubject
KMAX001,Larp,64,2133,432.40005,647.7112,Left,target,0,1,0,Korean,DifferentAgent,OvertSubject
KMAX001,Larp,65,2167,437.82,630.1298,Left,target,0,1,0,Korean,DifferentAgent,OvertSubject
KMAX001,Larp,66,2200,433.95085,645.0353,Left,target,0,1,0,Korean,DifferentAgent,OvertSubject
KMAX001,Larp,67,2233,437.7262,641.6833,Left,target,0,1,0,Korean,DifferentAgent,OvertSubject
KMAX001,Larp,68,2267,432.5121,618.3497,Left,target,0,1,0,Korean,DifferentAgent,OvertSubject
KMAX001,Larp,69,2300,496.6211,600.77915,Left,target,0,1,0,Korean,DifferentAgent,OvertSubject
KMAX001,Larp,70,2333,-999,-999,TrackLoss,.,1,0,0,Korean,DifferentAgent,OvertSubject
KMAX001,Larp,71,2367,-999,-999,TrackLoss,.,1,0,0,Korean,DifferentAgent,OvertSubject
KMAX001,Larp,72,2400,-999,-999,TrackLoss,.,1,0,0,Korean,DifferentAgent,OvertSubject
KMAX001,Larp,73,2433,1599.64,600.96705,Right,distractor,0,0,0,Korean,DifferentAgent,OvertSubject
KMAX001,Larp,74,2467,1440.3985,580.53775,Right,distractor,0,0,0,Korean,DifferentAgent,OvertSubject
KMAX003,Sem,0,0,-999,-999,TrackLoss,.,1,0,1,Korean,DifferentAgent,OvertSubject
KMAX003,Sem,1,33,-999,-999,TrackLoss,.,1,0,1,Korean,DifferentAgent,OvertSubject
KMAX003,Sem,2,67,-999,-999,TrackLoss,.,1,0,1,Korean,DifferentAgent,OvertSubject
KMAX003,Sem,3,100,-999,-999,TrackLoss,.,1,0,1,Korean,DifferentAgent,OvertSubject
KMAX003,Sem,4,133,-999,-999,TrackLoss,.,1,0,1,Korean,DifferentAgent,OvertSubject
KMAX003,Sem,5,167,-999,-999,TrackLoss,.,1,0,1,Korean,DifferentAgent,OvertSubject
KMAX003,Sem,6,200,-999,-999,TrackLoss,.,1,0,1,Korean,DifferentAgent,OvertSubject
KMAX003,Sem,7,233,-999,-999,TrackLoss,.,1,0,1,Korean,DifferentAgent,OvertSubject
KMAX003,Sem,8,267,-999,-999,TrackLoss,.,1,0,1,Korean,DifferentAgent,OvertSubject
KMAX003,Sem,9,300,-999,-999,TrackLoss,.,1,0,1,Korean,DifferentAgent,OvertSubject
KMAX003,Sem,10,333,-999,-999,TrackLoss,.,1,0,1,Korean,DifferentAgent,OvertSubject
KMAX003,Sem,11,367,-999,-999,TrackLoss,.,1,0,1,Korean,DifferentAgent,OvertSubject
KMAX003,Sem,12,400,-999,-999,TrackLoss,.,1,0,1,Korean,DifferentAgent,OvertSubject
KMAX003,Sem,13,433,-999,-999,TrackLoss,.,1,0,1,Korean,DifferentAgent,OvertSubject
KMAX003,Sem,14,467,-999,-999,TrackLoss,.,1,0,1,Korean,DifferentAgent,OvertSubject
KMAX003,Sem,15,500,-999,-999,TrackLoss,.,1,0,1,Korean,DifferentAgent,OvertSubject
KMAX003,Sem,16,533,-999,-999,TrackLoss,.,1,0,1,Korean,DifferentAgent,OvertSubject
KMAX003,Sem,17,567,-999,-999,TrackLoss,.,1,0,1,Korean,DifferentAgent,OvertSubject
KMAX003,Sem,18,600,-999,-999,TrackLoss,.,1,0,1,Korean,DifferentAgent,OvertSubject
KMAX003,Sem,19,633,-999,-999,TrackLoss,.,1,0,1,Korean,DifferentAgent,OvertSubject
KMAX003,Sem,20,667,-999,-999,TrackLoss,.,1,0,1,Korean,DifferentAgent,OvertSubject
KMAX003,Sem,21,700,-999,-999,TrackLoss,.,1,0,1,Korean,DifferentAgent,OvertSubject
KMAX003,Sem,22,733,-999,-999,TrackLoss,.,1,0,1,Korean,DifferentAgent,OvertSubject
