Participant,Trial,Correct,Age,Language,AgentType,SentenceType
EKMAX020,Blick,0,37.9,English,SameAgent,NA
EKMAX020,Larp,0,37.9,English,SameAgent,NA
EKMAX021,Sem,1,49.1,English,DifferentAgent,NA
EKMAX021,Blick,1,49.1,English,DifferentAgent,NA
EKMAX021,Larp,1,49.1,English,DifferentAgent,NA
EKMAX022,Sem,0,47,English,SameAgent,NA
EKMAX022,Blick,1,47,English,SameAgent,NA
EKMAX022,Larp,1,47,English,SameAgent,NA
EKMAX023,Sem,0,41.97,English,DifferentAgent,NA
EKMAX023,Blick,1,41.97,English,DifferentAgent,NA
EKMAX023,Larp,1,41.97,English,DifferentAgent,NA
EKMAX024,Sem,1,49.1,English,DifferentAgent,NA
EKMAX024,Blick,0,49.1,English,DifferentAgent,NA
EKMAX024,Larp,1,49.1,English,DifferentAgent,NA
EKMAX025,Sem,1,39.3,English,DifferentAgent,NA
EKMAX025,Blick,1,39.3,English,DifferentAgent,NA
EKMAX025,Larp,1,39.3,English,DifferentAgent,NA
EKMAX026,Sem,1,59.1,English,SameAgent,NA
EKMAX026,Blick,0,59.1,English,SameAgent,NA
EKMAX026,Larp,1,59.1,English,SameAgent,NA
EKMAX028,Sem,1,57.7,English,DifferentAgent,NA
EKMAX028,Blick,1,57.7,English,DifferentAgent,NA
EKMAX028,Larp,1,57.7,English,DifferentAgent,NA
EKMAX029,Sem,1,59.6,English,DifferentAgent,NA
EKMAX029,Blick,1,59.6,English,DifferentAgent,NA
EKMAX029,Larp,1,59.6,English,DifferentAgent,NA
EKMAX030,Sem,1,52.8,English,SameAgent,NA
EKMAX030,Blick,1,52.8,English,SameAgent,NA
EKMAX030,Larp,1,52.8,English,SameAgent,NA
EKMAX031,Sem,0,57.2,English,DifferentAgent,NA
EKMAX031,Blick,1,57.2,English,DifferentAgent,NA
EKMAX031,Larp,0,57.2,English,DifferentAgent,NA
EKMAX032,Sem,1,57.6,English,SameAgent,NA
EKMAX032,Blick,1,57.6,English,SameAgent,NA
EKMAX032,Larp,1,57.6,English,SameAgent,NA
EKMAX033,Sem,1,49.2,English,SameAgent,NA
EKMAX033,Blick,1,49.2,English,SameAgent,NA
EKMAX033,Larp,1,49.2,English,SameAgent,NA
EKMAX034,Sem,0,57.2,English,DifferentAgent,NA
EKMAX034,Blick,1,57.2,English,DifferentAgent,NA
EKMAX034,Larp,0,57.2,English,DifferentAgent,NA
EKMAX035,Sem,0,55.5,English,DifferentAgent,NA
EKMAX035,Blick,1,55.5,English,DifferentAgent,NA
EKMAX035,Larp,0,55.5,English,DifferentAgent,NA
EKMAX036,Sem,0,57.7,English,DifferentAgent,NA
EKMAX036,Blick,1,57.7,English,DifferentAgent,NA
EKMAX036,Larp,1,57.7,English,DifferentAgent,NA
EKMAX037,Sem,1,53.5,English,SameAgent,NA
EKMAX037,Blick,1,53.5,English,SameAgent,NA
EKMAX037,Larp,1,53.5,English,SameAgent,NA
EKMAX038,Sem,1,54.4,English,DifferentAgent,NA
EKMAX038,Blick,1,54.4,English,DifferentAgent,NA
EKMAX038,Larp,1,54.4,English,DifferentAgent,NA
EKMAX039,Sem,1,55.6,English,DifferentAgent,NA
EKMAX039,Blick,1,55.6,English,DifferentAgent,NA
EKMAX039,Larp,0,55.6,English,DifferentAgent,NA
EKMAX040,Sem,1,55.2,English,SameAgent,NA
EKMAX040,Blick,1,55.2,English,SameAgent,NA
EKMAX040,Larp,1,55.2,English,SameAgent,NA
EKMAX041,Sem,0,55.1,English,DifferentAgent,NA
EKMAX041,Blick,1,55.1,English,DifferentAgent,NA
EKMAX041,Larp,1,55.1,English,DifferentAgent,NA
EKMAX042,Sem,1,55.5,English,DifferentAgent,NA
EKMAX042,Blick,0,55.5,English,DifferentAgent,NA
EKMAX042,Larp,1,55.5,English,DifferentAgent,NA
EKMAX043,Blick,1,56.7,English,SameAgent,NA
EKMAX043,Larp,0,56.7,English,SameAgent,NA
EKMAX044,Sem,1,35.9,English,SameAgent,NA
EKMAX044,Blick,1,35.9,English,SameAgent,NA
EKMAX044,Larp,1,35.9,English,SameAgent,NA
EKMAX045,Sem,0,57.1,English,DifferentAgent,NA
EKMAX045,Blick,0,57.1,English,DifferentAgent,NA
EKMAX045,Larp,1,57.1,English,DifferentAgent,NA
EKMAX046,Sem,1,51.2,English,DifferentAgent,NA
EKMAX046,Blick,1,51.2,English,DifferentAgent,NA
EKMAX046,Larp,0,51.2,English,DifferentAgent,NA
EKMAX047,Sem,0,38.8,English,DifferentAgent,NA
EKMAX047,Blick,0,38.8,English,DifferentAgent,NA
