Participant,Trial,Correct,Age,Language,AgentType,SentenceType,Experiment
KKMAX074,Blick,1,56.18,Korean,SameAgent,OvertSubject,experiment1
KKMAX074,Larp,1,56.18,Korean,SameAgent,OvertSubject,experiment1
KKMAX075,Sem,1,57.89,Korean,DifferentAgent,DroppedSubject,experiment2
KKMAX075,Blick,0,57.89,Korean,DifferentAgent,DroppedSubject,experiment2
KKMAX075,Larp,0,57.89,Korean,DifferentAgent,DroppedSubject,experiment2
KKMAX076,Sem,1,58.71,Korean,SameAgent,OvertSubject,experiment1
KKMAX076,Blick,0,58.71,Korean,SameAgent,OvertSubject,experiment1
KKMAX076,Larp,1,58.71,Korean,SameAgent,OvertSubject,experiment1
KKMAX077,Blick,0,65.91,Korean,DifferentAgent,OvertSubject,experiment1
KKMAX077,Larp,0,65.91,Korean,DifferentAgent,OvertSubject,experiment1
KKMAX078,Sem,1,48.82,Korean,SameAgent,OvertSubject,experiment1
KKMAX078,Blick,1,48.82,Korean,SameAgent,OvertSubject,experiment1
KKMAX078,Larp,0,48.82,Korean,SameAgent,OvertSubject,experiment1
KKMAX079,Sem,1,48.3,Korean,DifferentAgent,DroppedSubject,experiment2
KKMAX079,Blick,0,48.3,Korean,DifferentAgent,DroppedSubject,experiment2
KKMAX079,Larp,1,48.3,Korean,DifferentAgent,DroppedSubject,experiment2
KKMAX080,Sem,0,55.03,Korean,SameAgent,DroppedSubject,experiment2
KKMAX080,Blick,0,55.03,Korean,SameAgent,DroppedSubject,experiment2
KKMAX080,Larp,0,55.03,Korean,SameAgent,DroppedSubject,experiment2
EKMAX002,Sem,1,36.9,English,DifferentAgent,NA,experiment1
EKMAX002,Blick,1,36.9,English,DifferentAgent,NA,experiment1
EKMAX002,Larp,0,36.9,English,DifferentAgent,NA,experiment1
EKMAX003,Sem,0,46.7,English,DifferentAgent,NA,experiment1
EKMAX003,Blick,1,46.7,English,DifferentAgent,NA,experiment1
EKMAX003,Larp,1,46.7,English,DifferentAgent,NA,experiment1
EKMAX004,Sem,1,46,English,DifferentAgent,NA,experiment1
EKMAX004,Blick,1,46,English,DifferentAgent,NA,experiment1
EKMAX004,Larp,1,46,English,DifferentAgent,NA,experiment1
EKMAX005,Sem,1,52.4,English,DifferentAgent,NA,experiment1
EKMAX005,Blick,0,52.4,English,DifferentAgent,NA,experiment1
EKMAX005,Larp,1,52.4,English,DifferentAgent,NA,experiment1
EKMAX006,Sem,1,56.5,English,DifferentAgent,NA,experiment1
EKMAX006,Blick,1,56.5,English,DifferentAgent,NA,experiment1
EKMAX006,Larp,1,56.5,English,DifferentAgent,NA,experiment1
EKMAX007,Sem,1,53.6,English,DifferentAgent,NA,experiment1
EKMAX007,Blick,1,53.6,English,DifferentAgent,NA,experiment1
